primaryName,avgRating,filmsCount,qualityIndex
Krzysztof Kieslowski,7.71,8,61.68
Scott Derrickson,6.16,10,61.6
Wesley Strick,6.16,10,61.6
Gary Ross,6.84,9,61.56
Imtiaz Ali,6.82,9,61.38
Hirokazu Koreeda,7.66,8,61.28
Jez Butterworth,6.8,9,61.2
Tom Stoppard,6.79,9,61.11
Anthony Shaffer,6.76,9,60.84
Matthew Robbins,6.73,9,60.57
Stephen Sommers,6.05,10,60.5
Michael Green,6.72,9,60.48
Neil Simon,6.72,9,60.48
Victor Miller,5.49,11,60.39
John Sayles,6.71,9,60.39
Michael McCullers,6.02,10,60.2
John Cleese,7.5,8,60.0
John Hamburg,6.0,10,60.0
Mark Steven Johnson,6.0,10,60.0
Álex de la Iglesia,6.66,9,59.94
Peter Baynham,6.66,9,59.94
Trivikram Srinivas,6.64,9,59.76
Dan Gilroy,6.64,9,59.76
Eli Roth,5.42,11,59.62
R.C. Sherriff,7.45,8,59.6
John Hodge,6.62,9,59.58
Michael Arndt,7.43,8,59.44
John Grisham,6.58,9,59.22
Jack Epps Jr.,5.92,10,59.2
Jim Cash,5.92,10,59.2
John Gatins,6.57,9,59.13
Sanjay Leela Bhansali,7.39,8,59.12
Bobby Farrelly,5.89,10,58.9
Michael Moore,7.36,8,58.88
Paul Laverty,7.36,8,58.88
Alan B. McElroy,5.35,11,58.85
Pier Paolo Pasolini,7.35,8,58.8
Sofia Coppola,6.53,9,58.77
Takeshi Kitano,7.34,8,58.72
Raymond Chandler,7.33,8,58.64
Frank S. Nugent,7.32,8,58.56
Donald E. Westlake,6.5,9,58.5
Ti West,5.85,10,58.5
Ken Anderson,7.31,8,58.48
John Lasseter,7.31,8,58.48
Lem Dobbs,6.48,9,58.32
Matthew Vaughn,7.29,8,58.32
Audrey Wells,6.48,9,58.32
Mike Flanagan,6.48,9,58.32
Jeremy Brock,6.46,9,58.14
Éric Rohmer,7.26,8,58.08
John Woo,7.25,8,58.0
Vishal Bhardwaj,7.25,8,58.0
Bernardo Bertolucci,7.24,8,57.92
Simon Beaufoy,7.23,8,57.84
Kim Ki-duk,7.21,8,57.68
Robert Benton,7.2,8,57.6
Bruce Geller,7.19,8,57.52
Paul W.S. Anderson,5.75,10,57.5
Derek Connolly,6.38,9,57.42
Simon Barrett,5.73,10,57.3
Joe Grant,7.16,8,57.28
Dana Fox,6.36,9,57.24
Charles Bennett,7.15,8,57.2
Fatih Akin,7.15,8,57.2
Roger Avary,7.15,8,57.2
James Mangold,7.13,8,57.04
Daniel Petrie Jr.,6.33,9,56.97
Abhijat Joshi,7.11,8,56.88
Albert Maltz,7.11,8,56.88
David Reynolds,7.09,8,56.72
Don Rhymer,5.67,10,56.7
Dan Mazer,6.27,9,56.43
Etan Cohen,6.26,9,56.34
David Magee,7.04,8,56.32
David Leslie Johnson-McGoldrick,6.23,9,56.07
Patricia Highsmith,7.0,8,56.0
Eric Heisserer,6.22,9,55.98
Matthew Michael Carnahan,6.98,8,55.84
Don Hall,6.98,8,55.84
Oriol Paulo,6.98,8,55.84
Rudyard Kipling,6.96,8,55.68
Nicholas Meyer,6.96,8,55.68
Chris McKenna,6.96,8,55.68
Paul Weitz,6.17,9,55.53
Bob Gale,6.94,8,55.52
Miles Millar,6.16,9,55.44
Alfred Gough,6.16,9,55.44
Sam Raimi,6.93,8,55.44
J. David Stem,5.52,10,55.2
Charles Perrault,6.9,8,55.2
Frank Miller,6.13,9,55.17
Shridhar Raghavan,6.1,9,54.9
William Broyles Jr.,6.86,8,54.88
Robin Swicord,6.86,8,54.88
Charles Leavitt,6.86,8,54.88
Rajshri Sudhakar,6.85,8,54.8
Lorenzo Semple Jr.,6.85,8,54.8
